Date,Symbol,Type,Lot Number,Volume,Price per Share,Commission,Tax Rate,Remark
2017-05-22,PTT.BK,BUY,PTT.BK-1,400.00,46.50,16.33,,
2018-11-22,PTT.BK,BUY,PTT.BK-2,200.00,48.25,8.47,,
2018-12-11,PTT.BK,BUY,PTT.BK-3,100.00,49.50,4.34,,
2018-12-13,PTT.BK,BUY,PTT.BK-4,100.00,49.00,4.29,,
2018-12-14,PTT.BK,BUY,PTT.BK-5,100.00,47.75,4.19,,
2018-12-14,PTT.BK,BUY,PTT.BK-6,100.00,47.50,4.16,,
2018-12-18,PTT.BK,BUY,PTT.BK-7,100.00,47.25,4.14,,
2018-12-18,PTT.BK,BUY,PTT.BK-8,100.00,47.00,4.13,,
2018-12-19,PTT.BK,BUY,PTT.BK-9,100.00,46.25,4.07,,
2018-12-21,PTT.BK,BUY,PTT.BK-10,100.00,46.75,4.10,,
2018-12-25,PTT.BK,BUY,PTT.BK-11,100.00,45.50,3.98,,
2018-12-26,PTT.BK,BUY,PTT.BK-12,100.00,45.75,4.01,,
2019-01-02,PTT.BK,BUY,PTT.BK-13,100.00,46.75,8.47,,
2019-01-03,PTT.BK,BUY,PTT.BK-14,100.00,46.25,4.34,,
2019-01-03,PTT.BK,BUY,PTT.BK-15,100.00,45.50,4.29,,
2019-01-07,PTT.BK,BUY,PTT.BK-16,100.00,48.00,4.19,,
2019-01-14,PTT.BK,BUY,PTT.BK-17,200.00,48.00,4.16,,
2019-01-15,PTT.BK,BUY,PTT.BK-18,100.00,47.75,4.14,,
2019-01-16,PTT.BK,BUY,PTT.BK-19,100.00,47.25,4.13,,
2019-01-17,PTT.BK,BUY,PTT.BK-20,100.00,47.50,3.16,,
2019-01-25,PTT.BK,BUY,PTT.BK-21,100.00,48.50,3.22,,
2019-01-29,PTT.BK,BUY,PTT.BK-22,100.00,47.50,8.47,,
2019-01-30,PTT.BK,BUY,PTT.BK-23,100.00,48.25,4.34,,
2019-02-11,PTT.BK,BUY,PTT.BK-24,100.00,48.25,4.29,,
2019-02-12,PTT.BK,BUY,PTT.BK-25,100.00,48.25,4.19,,
2019-02-14,PTT.BK,BUY,PTT.BK-26,100.00,48.50,4.16,,
2019-02-15,PTT.BK,BUY,PTT.BK-27,100.00,48.25,4.14,,
2019-02-15,PTT.BK,BUY,PTT.BK-28,100.00,48.00,4.13,,
2019-02-21,PTT.BK,BUY,PTT.BK-29,100.00,49.25,4.32,,
2019-02-22,PTT.BK,BUY,PTT.BK-30,100.00,48.50,8.47,,
2019-03-06,PTT.BK,BUY,PTT.BK-31,100.00,48.00,4.34,,
2019-03-06,PTT.BK,BUY,PTT.BK-32,100.00,47.75,4.29,,
2019-03-08,PTT.BK,BUY,PTT.BK-33,100.00,47.50,4.19,,
2019-03-11,PTT.BK,BUY,PTT.BK-34,100.00,47.50,4.16,,
2019-03-12,PTT.BK,BUY,PTT.BK-35,100.00,47.50,4.14,,
2019-03-12,PTT.BK,BUY,PTT.BK-36,100.00,47.25,4.13,,
2019-03-13,PTT.BK,BUY,PTT.BK-37,100.00,47.25,4.14,,
2019-03-27,PTT.BK,BUY,PTT.BK-38,200.00,47.50,8.35,,
2019-05-09,PTT.BK,BUY,PTT.BK-39,100.00,48.00,8.47,,
2019-05-13,PTT.BK,BUY,PTT.BK-40,100.00,47.50,4.34,,
2019-05-14,PTT.BK,BUY,PTT.BK-41,200.00,47.25,4.29,,
2019-05-15,PTT.BK,BUY,PTT.BK-42,200.00,47.25,4.19,,
2019-05-16,PTT.BK,BUY,PTT.BK-43,200.00,47.00,4.16,,
2019-05-17,PTT.BK,BUY,PTT.BK-44,100.00,47.00,4.14,,
2019-05-23,PTT.BK,BUY,PTT.BK-45,200.00,46.50,8.16,,
2019-05-24,PTT.BK,BUY,PTT.BK-46,100.00,45.50,8.47,,
2019-05-27,PTT.BK,BUY,PTT.BK-47,200.00,46.25,4.34,,
2019-05-28,PTT.BK,BUY,PTT.BK-48,200.00,46.50,4.29,,
2019-05-31,PTT.BK,BUY,PTT.BK-49,100.00,46.25,4.19,,
2019-06-13,PTT.BK,BUY,PTT.BK-50,600.00,46.75,4.16,,
2019-07-04,PTT.BK,BUY,PTT.BK-51,100.00,48.25,4.14,,
2019-07-09,PTT.BK,BUY,PTT.BK-52,100.00,48.00,4.22,,
2019-07-10,PTT.BK,BUY,PTT.BK-53,100.00,48.00,8.47,,
2019-07-12,PTT.BK,BUY,PTT.BK-54,100.00,48.00,4.34,,
2019-07-19,PTT.BK,BUY,PTT.BK-55,100.00,47.75,4.29,,
2019-07-22,PTT.BK,BUY,PTT.BK-56,100.00,47.50,4.19,,
2019-07-24,PTT.BK,BUY,PTT.BK-57,100.00,47.75,4.16,,
2019-07-26,PTT.BK,BUY,PTT.BK-58,100.00,47.25,4.14,,
2019-07-30,PTT.BK,BUY,PTT.BK-59,100.00,47.25,4.13,,
2019-08-01,PTT.BK,BUY,PTT.BK-60,100.00,47.00,4.13,,
2019-08-02,PTT.BK,BUY,PTT.BK-61,100.00,46.25,4.07,,
2019-08-05,PTT.BK,BUY,PTT.BK-62,100.00,46.00,4.03,,
2019-08-06,PTT.BK,BUY,PTT.BK-63,100.00,45.50,3.99,,
2019-08-07,PTT.BK,BUY,PTT.BK-64,100.00,45.25,8.47,,
2019-08-08,PTT.BK,BUY,PTT.BK-65,100.00,44.50,4.34,,
2019-08-09,PTT.BK,BUY,PTT.BK-66,200.00,44.38,4.29,,
2019-08-13,PTT.BK,BUY,PTT.BK-67,100.00,43.50,4.19,,
